Date (MM/DD/YYYY)	Time (HH:mm:ss)	Time (Fract. Sec)	Site Name	Chlorophyll RFU	Chlorophyll ug/L	Cond µS/cm	Depth m	fDOM QSU	fDOM RFU	nLF Cond µS/cm	ODO % sat	ODO % CB	ODO mg/L	Pressure psi a	Sal psu	SpCond µS/cm	TAL PE RFU	TAL PE ug/L	TDS mg/L	Turbidity FNU	TSS mg/L	pH	pH mV	Temp °C	Vertical Position m	GPS Latitude °	GPS Longitude °	Altitude m	Battery V	Cable Pwr V	Barometer mmHg
10/7/22	12:58:14	0	<None>	0.35	1.48	50161	-0.356	21.92	7.31	47287.3	99.1	99.1	6.55	-0.516	30.89	47567	0.74	2.03	30919	3.13	0	7.81	-72.6	27.855	-0.285	25.90978	-80.13709	2.6	5.83	12.1	1443
10/7/22	12:58:29	0	<None>	0.4	1.69	50224.6	-0.281	21.77	7.26	47329.2	92.4	92.4	6.1	-0.408	30.92	47611.2	0.74	2.03	30947	-0.15	0	7.81	-72.3	27.874	-0.198	25.90977	-80.13709	1.5	5.83	12.1	1442.9
10/7/22	12:58:44	0	<None>	0.39	1.65	51463.1	-0.107	19.54	6.52	48496.8	90.7	90.7	5.96	-0.156	31.77	48785.6	0.82	2.25	31711	-0.1	0	7.82	-72.9	27.873	0.004	25.90976	-80.13709	1.1	5.83	12.1	1442.9
10/7/22	12:58:59	0	<None>	0.45	1.88	51256.9	-0.005	19.4	6.47	48291.3	90.1	90.1	5.92	-0.008	31.62	48580.1	0.85	2.33	31577	-0.13	0	7.82	-73.1	27.885	-0.072	25.90974	-80.13708	1	5.83	12.1	1443.1
10/7/22	12:59:14	0	<None>	0.38	1.6	50076	-0.064	21.62	7.21	47170.5	89.5	89.5	5.91	-0.092	30.8	47453.5	0.8	2.2	30845	-0.15	0	7.81	-72.2	27.893	-0.164	25.90977	-80.137	1.1	5.83	12.1	1443.1
10/7/22	12:59:29	0	<None>	0.38	1.63	49927.4	-0.15	22.09	7.37	47044.8	91.3	91.3	6.04	-0.217	30.71	47325.5	0.76	2.1	30762	-0.22	0	7.81	-72.3	27.878	-0.159	25.90982	-80.13692	1.2	5.83	12.1	1443
10/7/22	12:59:44	0	<None>	0.36	1.55	49961	-0.194	22.01	7.34	47072.9	91.5	91.5	6.05	-0.282	30.73	47354.1	0.75	2.07	30780	-0.21	0	7.81	-72.4	27.882	-0.241	25.90987	-80.13683	1.6	5.83	12.1	1443.2
10/7/22	12:59:59	0	<None>	0.42	1.79	50040.7	-0.208	21.77	7.26	47143.1	91.4	91.4	6.04	-0.301	30.78	47425.3	0.75	2.08	30826	-0.23	0	7.81	-72.5	27.887	-0.203	25.90991	-80.13673	1.1	5.83	12.1	1443.1
10/7/22	13:00:14	0	<None>	0.36	1.53	50266.6	-0.215	20.99	7.01	47365.2	91.8	91.8	6.06	-0.312	30.94	47647.7	0.7	1.92	30971	-0.27	0	7.82	-72.9	27.877	-0.224	25.90993	-80.13662	0.1	5.83	12.1	1443.2
10/7/22	13:00:29	0	<None>	0.39	1.64	50501.5	-0.206	20.03	6.68	47596.9	93.5	93.5	6.17	-0.299	31.11	47879.7	0.64	1.77	31122	-0.27	0	7.84	-73.8	27.867	-0.196	25.90995	-80.13652	0	5.83	12.1	1443.3
10/7/22	13:00:44	0	<None>	0.4	1.68	50162.6	-0.176	20.66	6.9	47269.4	93.2	93.2	6.16	-0.255	30.87	47551.2	0.74	2.02	30908	-0.25	0	7.83	-73.7	27.875	-0.213	25.90998	-80.13646	0.5	5.83	12.1	1443.5
10/7/22	13:00:59	0	<None>	0.4	1.71	50156.2	-0.148	20.91	6.98	47254.2	92.7	92.7	6.12	-0.214	30.86	47536.8	0.72	1.98	30899	-0.27	0	7.82	-73.2	27.885	-0.065	25.90996	-80.13639	0.9	5.83	12.1	1443.5
10/7/22	13:01:14	0	<None>	0.42	1.78	50496.3	-0.113	19.73	6.59	47579	92.7	92.7	6.11	-0.163	31.1	47863.1	0.72	1.98	31111	-0.27	0	7.83	-73.6	27.88	-0.183	25.90993	-80.13634	0.8	5.83	12.1	1443.5
10/7/22	13:01:29	0	<None>	0.37	1.58	50121	-0.13	20.75	6.92	47227.2	93.5	93.5	6.18	-0.188	30.84	47509	0.7	1.92	30881	-0.26	0	7.83	-73.7	27.878	-0.195	25.9099	-80.13625	0.6	5.83	12.1	1443.6
10/7/22	13:01:44	0	<None>	0.41	1.74	50161	-0.143	20.26	6.76	47268.6	94.2	94.2	6.22	-0.208	30.87	47550.3	0.7	1.94	30908	-0.3	0	7.83	-73.8	27.875	0.001	25.90987	-80.13619	0.6	5.83	12.1	1443.7